"Meldejahr","STATIONS_ID","Geschlecht","Inzidenz","Jahrestemperatur","Jahresniederschlag","LandkreisID","Kreis","Bevölkerung_Insg","Bevölkerungsentwicklung","Bevölkerung","Bundesland","Wintertemperatur","Wintertemperatur_Vorjahr","Frühlingsniederschlag","Sommerniederschlag","Sommertemperatur","Gesamt_Inzidenz"
2015,"131","männlich",31.11,9.91,626.4,"14522","Mittelsachsen",300639,-0.17,149223,"Sachsen",3.12333333333333,2.52,43.7,53.5,15.7866666666667,71.15
2015,"131","weiblich",40.04,9.91,626.4,"14522","Mittelsachsen",300639,-0.17,151416,"Sachsen",3.12333333333333,2.52,43.7,53.5,15.7866666666667,71.15
2016,"131","männlich",67.66,9.42,687.2,"14522","Mittelsachsen",300639,-0.17,149223,"Sachsen",1.77333333333333,3.12333333333333,58.4,55.7666666666667,16.66,151.92
2016,"131","weiblich",84.26,9.42,687.2,"14522","Mittelsachsen",300639,-0.17,151416,"Sachsen",1.77333333333333,3.12333333333333,58.4,55.7666666666667,16.66,151.92
2017,"131","männlich",56.45,9.5,709.1,"14522","Mittelsachsen",300639,-0.17,149223,"Sachsen",0.59,1.77333333333333,37.45,50.7333333333333,16.7433333333333,128.35
2017,"131","weiblich",71.9,9.5,709.1,"14522","Mittelsachsen",300639,-0.17,151416,"Sachsen",0.59,1.77333333333333,37.45,50.7333333333333,16.7433333333333,128.35
2018,"131","männlich",58.11,10.41,432.2,"14522","Mittelsachsen",300639,-0.17,149223,"Sachsen",1.52666666666667,0.59,25.75,25.5666666666667,17.9166666666667,139.28
2018,"131","weiblich",81.17,10.41,432.2,"14522","Mittelsachsen",300639,-0.17,151416,"Sachsen",1.52666666666667,0.59,25.75,25.5666666666667,17.9166666666667,139.28
2019,"131","männlich",83.6,10.46,629,"14522","Mittelsachsen",300639,-0.17,149223,"Sachsen",2.63,1.52666666666667,49.3,41.1666666666667,16.85,199.35
2019,"131","weiblich",115.75,10.46,629,"14522","Mittelsachsen",300639,-0.17,151416,"Sachsen",2.63,1.52666666666667,49.3,41.1666666666667,16.85,199.35
2020,"131","männlich",69.56,10.5,678.4,"14522","Mittelsachsen",300639,-0.17,149223,"Sachsen",3.97666666666667,2.63,62.15,50.8,15.6033333333333,152.76
2020,"131","weiblich",83.2,10.5,678.4,"14522","Mittelsachsen",300639,-0.17,151416,"Sachsen",3.97666666666667,2.63,62.15,50.8,15.6033333333333,152.76
2021,"131","männlich",60.28,8.91,896,"14522","Mittelsachsen",300639,-0.17,149223,"Sachsen",0.93,3.97666666666667,99.55,97.0666666666667,16.21,161.01
2021,"131","weiblich",100.73,8.91,896,"14522","Mittelsachsen",300639,-0.17,151416,"Sachsen",0.93,3.97666666666667,99.55,97.0666666666667,16.21,161.01
2022,"131","männlich",76.4,10.43,593.7,"14522","Mittelsachsen",300639,-0.17,149223,"Sachsen",2.76666666666667,0.93,22.7,32.7333333333333,17.5633333333333,170.53
2022,"131","weiblich",94.13,10.43,593.7,"14522","Mittelsachsen",300639,-0.17,151416,"Sachsen",2.76666666666667,0.93,22.7,32.7333333333333,17.5633333333333,170.53
2023,"131","männlich",74.54,10.61,NA,"14522","Mittelsachsen",300639,-0.17,149223,"Sachsen",3.30666666666667,2.76666666666667,38.9,45.3333333333333,16.6833333333333,157.35
2023,"131","weiblich",82.81,10.61,NA,"14522","Mittelsachsen",300639,-0.17,151416,"Sachsen",3.30666666666667,2.76666666666667,38.9,45.3333333333333,16.6833333333333,157.35
2024,"131","männlich",32.92,NA,NA,"14522","Mittelsachsen",300639,-0.17,149223,"Sachsen",NA,NA,NA,NA,NA,68.07
2024,"131","weiblich",35.15,NA,NA,"14522","Mittelsachsen",300639,-0.17,151416,"Sachsen",NA,NA,NA,NA,NA,68.07
2010,"3946","männlich",26,7.22,896.8,"14523","Vogtlandkreis",222666,-0.2,108488,"Sachsen",-3.57333333333333,NA,55.05,99.5,15.5833333333333,43
2010,"3946","weiblich",17,7.22,896.8,"14523","Vogtlandkreis",222666,-0.2,114178,"Sachsen",-3.57333333333333,NA,55.05,99.5,15.5833333333333,43
2011,"3946","männlich",18,9.03,580.1,"14523","Vogtlandkreis",222666,-0.2,108488,"Sachsen",0.586666666666667,-3.57333333333333,54.6,77.0666666666667,15.3066666666667,43
2011,"3946","weiblich",25,9.03,580.1,"14523","Vogtlandkreis",222666,-0.2,114178,"Sachsen",0.586666666666667,-3.57333333333333,54.6,77.0666666666667,15.3066666666667,43
2012,"3946","männlich",11,NA,690.7,"14523","Vogtlandkreis",222666,-0.2,108488,"Sachsen",-0.95,0.586666666666667,97.95,85.9666666666667,15.79,30
