"Meldejahr","STATIONS_ID","Geschlecht","Inzidenz","Jahrestemperatur","Jahresniederschlag","LandkreisID","Kreis","Bevölkerung_Insg","Bevölkerungsentwicklung","Bevölkerung","Bundesland","Wintertemperatur","Wintertemperatur_Vorjahr","Frühlingsniederschlag","Sommerniederschlag","Sommertemperatur","Inzidenz_log","Gesamt_Inzidenz"
2016,"1050","weiblich",190,10.61,685.9,"14625","Bautzen",297711,-0.17,150729,"Sachsen",2.92,4.43666666666667,78.7,81.5333333333333,17.8833333333333,5.25227342804663,305
2017,"1050","männlich",127,10.72,631.2,"14625","Bautzen",297711,-0.17,146982,"Sachsen",1.76333333333333,2.92,43.3,64.7666666666667,18.1733333333333,4.85203026391962,295
2017,"1050","weiblich",168,10.72,631.2,"14625","Bautzen",297711,-0.17,150729,"Sachsen",1.76333333333333,2.92,43.3,64.7666666666667,18.1733333333333,5.12989871492307,295
2019,"1050","männlich",127,11.64,526.8,"14625","Bautzen",297711,-0.17,146982,"Sachsen",3.37,2.54333333333333,66.4,56.7,18.2766666666667,4.85203026391962,290
2019,"1050","weiblich",163,11.64,526.8,"14625","Bautzen",297711,-0.17,150729,"Sachsen",3.37,2.54333333333333,66.4,56.7,18.2766666666667,5.0998664278242,290
2020,"1050","männlich",153,11.51,611.7,"14625","Bautzen",297711,-0.17,146982,"Sachsen",4.93,3.37,77.55,63.9333333333333,16.8766666666667,5.03695260241363,355
2020,"1050","weiblich",202,11.51,611.7,"14625","Bautzen",297711,-0.17,150729,"Sachsen",4.93,3.37,77.55,63.9333333333333,16.8766666666667,5.31320597904179,355
2021,"1050","männlich",133,10.15,714.7,"14625","Bautzen",297711,-0.17,146982,"Sachsen",1.87666666666667,4.93,84.45,92.4666666666667,17.8333333333333,4.89783979995091,323
2021,"1050","weiblich",190,10.15,714.7,"14625","Bautzen",297711,-0.17,150729,"Sachsen",1.87666666666667,4.93,84.45,92.4666666666667,17.8333333333333,5.25227342804663,323
2022,"1050","männlich",67,11.41,464.9,"14625","Bautzen",297711,-0.17,146982,"Sachsen",4.04666666666667,1.87666666666667,25.7,21.7333333333333,18.92,4.21950770517611,178
2022,"1050","weiblich",111,11.41,464.9,"14625","Bautzen",297711,-0.17,150729,"Sachsen",4.04666666666667,1.87666666666667,25.7,21.7333333333333,18.92,4.71849887129509,178
